currFreq,freq1,freq2,freq3,freq4,freq5,freq6,freq7,freq8,freq9,freq10,r,g,b
2683,167,221,285,234,218,294,265,714,403,892,198,252,3
2493,221,285,234,218,294,265,714,403,892,2683,252,28,3
3061,285,234,218,294,265,714,403,892,2683,2493,252,140,3
2899,234,218,294,265,714,403,892,2683,2493,3061,252,28,3
2941,218,294,265,714,403,892,2683,2493,3061,2899,252,232,3
3056,294,265,714,403,892,2683,2493,3061,2899,2941,255,30,4
2946,265,714,403,892,2683,2493,3061,2899,2941,3056,252,90,3
2464,714,403,892,2683,2493,3061,2899,2941,3056,2946,230,70,32
2670,403,892,2683,2493,3061,2899,2941,3056,2946,2464,240,43,9
2694,892,2683,2493,3061,2899,2941,3056,2946,2464,2670,200,53,20
2956,2683,2493,3061,2899,2941,3056,2946,2464,2670,2694,223,14,23
3030,2493,3061,2899,2941,3056,2946,2464,2670,2694,2956,255,42,32
2927,3061,2899,2941,3056,2946,2464,2670,2694,2956,3030,255,43,19
2759,2899,2941,3056,2946,2464,2670,2694,2956,3030,2927,230,23,12
1903,2941,3056,2946,2464,2670,2694,2956,3030,2927,2759,230,40,19
2182,3056,2946,2464,2670,2694,2956,3030,2927,2759,1903,253,42,10
2395,2946,2464,2670,2694,2956,3030,2927,2759,1903,2182,260,32,31
2532,2464,2670,2694,2956,3030,2927,2759,1903,2182,2395,190,20,1
3056,2670,2694,2956,3030,2927,2759,1903,2182,2395,2532,205,24,52
2681,2694,2956,3030,2927,2759,1903,2182,2395,2532,3056,243,41,20
2959,2956,3030,2927,2759,1903,2182,2395,2532,3056,2681,250,55,32
3543,3030,2927,2759,1903,2182,2395,2532,3056,2681,2959,255,3,14
2201,2927,2759,1903,2182,2395,2532,3056,2681,2959,3543,255,19,23
3108,2759,1903,2182,2395,2532,3056,2681,2959,3543,2201,223,24,5
2259,1903,2182,2395,2532,3056,2681,2959,3543,2201,3108,234,42,13
2343,2182,2395,2532,3056,2681,2959,3543,2201,3108,2259,240,33,12
1784,2395,2532,3056,2681,2959,3543,2201,3108,2259,2343,180,40,40

